name,id,home,team,pos,rushing_lngtd,rushing_tds,rushing_twopta,rushing_lng,rushing_yds,rushing_att,rushing_twoptm,receiving_tds,receiving_lng,receiving_rec,receiving_twopta,receiving_yds,receiving_lngtd,receiving_twoptm,fumbles_trcv,fumbles_tot,fumbles_rcv,fumbles_yds,fumbles_lost,defense_ffum,defense_tkl,defense_int,defense_ast,defense_sk
A.Peterson,00-0025394,no,MIN,RB,317,12,1,643,2097,348,1,1,130,40,0,217,2,0,0,4,0,0,2,,,,,
A.Morris,00-0029141,no,WAS,RB,102,13,0,344,1606,335,0,0,65,11,0,77,0,0,2,4,2,0,3,,,,,
M.Lynch,00-0025399,no,SEA,RB,176,11,0,399,1590,315,0,1,154,23,0,196,9,0,0,5,0,0,2,,,,,
J.Charles,00-0026213,no,KC,RB,306,5,0,492,1513,284,0,1,144,37,0,236,13,0,0,5,0,0,3,,,,,
D.Martin,00-0029613,no,TB,RB,160,11,0,357,1454,319,0,1,290,49,0,472,64,0,1,1,1,0,1,,,,,
A.Foster,00-0026796,no,HOU,RB,60,15,0,307,1411,351,0,2,142,40,0,217,5,0,1,3,1,0,2,,,,,
S.Ridley,00-0028011,no,NE,RB,47,12,0,250,1263,290,0,0,36,6,0,51,0,0,0,4,0,0,2,0,1,0,0,0
C.Spiller,00-0027861,no,BUF,RB,141,6,0,427,1244,207,0,2,304,43,0,459,98,0,0,3,0,0,3,,,,,
C.Johnson,00-0026164,no,TEN,RB,276,6,0,450,1243,276,0,0,143,36,0,226,0,0,0,5,0,0,4,,,,,
F.Gore,00-0023500,no,SF,RB,51,8,0,291,1212,259,0,1,149,28,0,234,6,0,4,3,4,15,1,,,,,
